"id","priority","domain","control","context","condition","automationLayer","instruction","expected","evidenceRequired","releaseBlocking","status"
"QA-LOGIN-CREDENTIALS-016","P0","Login Credentials","email normalization","fresh browser session after deployment","nominal","production-smoke","In fresh browser session after deployment, verify email normalization under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-017","P0","Login Credentials","email normalization","fresh browser session after deployment","invalid","production-smoke","In fresh browser session after deployment, verify email normalization under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-018","P0","Login Credentials","email normalization","fresh browser session after deployment","boundary","production-smoke","In fresh browser session after deployment, verify email normalization under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-019","P0","Login Credentials","email normalization","fresh browser session after deployment","dependency_failure","production-smoke","In fresh browser session after deployment, verify email normalization under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-020","P0","Login Credentials","email normalization","fresh browser session after deployment","recovery","production-smoke","In fresh browser session after deployment, verify email normalization under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-021","P0","Login Credentials","password verification","desktop keyboard login","nominal","browser-e2e","In desktop keyboard login, verify password verification under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-022","P0","Login Credentials","password verification","desktop keyboard login","invalid","browser-e2e","In desktop keyboard login, verify password verification under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-023","P0","Login Credentials","password verification","desktop keyboard login","boundary","browser-e2e","In desktop keyboard login, verify password verification under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-024","P0","Login Credentials","password verification","desktop keyboard login","dependency_failure","browser-e2e","In desktop keyboard login, verify password verification under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-025","P0","Login Credentials","password verification","desktop keyboard login","recovery","browser-e2e","In desktop keyboard login, verify password verification under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-026","P0","Login Credentials","password verification","mobile touch login","nominal","browser-e2e","In mobile touch login, verify password verification under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-027","P0","Login Credentials","password verification","mobile touch login","invalid","browser-e2e","In mobile touch login, verify password verification under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-028","P0","Login Credentials","password verification","mobile touch login","boundary","browser-e2e","In mobile touch login, verify password verification under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-029","P0","Login Credentials","password verification","mobile touch login","dependency_failure","browser-e2e","In mobile touch login, verify password verification under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-030","P0","Login Credentials","password verification","mobile touch login","recovery","browser-e2e","In mobile touch login, verify password verification under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-031","P0","Login Credentials","password verification","direct tRPC login request","nominal","integration","In direct tRPC login request, verify password verification under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-032","P0","Login Credentials","password verification","direct tRPC login request","invalid","integration","In direct tRPC login request, verify password verification under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-033","P0","Login Credentials","password verification","direct tRPC login request","boundary","integration","In direct tRPC login request, verify password verification under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-034","P0","Login Credentials","password verification","direct tRPC login request","dependency_failure","integration","In direct tRPC login request, verify password verification under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-035","P0","Login Credentials","password verification","direct tRPC login request","recovery","integration","In direct tRPC login request, verify password verification under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-036","P0","Login Credentials","password verification","fresh browser session after deployment","nominal","production-smoke","In fresh browser session after deployment, verify password verification under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-037","P0","Login Credentials","password verification","fresh browser session after deployment","invalid","production-smoke","In fresh browser session after deployment, verify password verification under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-038","P0","Login Credentials","password verification","fresh browser session after deployment","boundary","production-smoke","In fresh browser session after deployment, verify password verification under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-039","P0","Login Credentials","password verification","fresh browser session after deployment","dependency_failure","production-smoke","In fresh browser session after deployment, verify password verification under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-040","P0","Login Credentials","password verification","fresh browser session after deployment","recovery","production-smoke","In fresh browser session after deployment, verify password verification under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-041","P0","Login Credentials","credential submission","desktop keyboard login","nominal","browser-e2e","In desktop keyboard login, verify credential submission under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-042","P0","Login Credentials","credential submission","desktop keyboard login","invalid","browser-e2e","In desktop keyboard login, verify credential submission under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-043","P0","Login Credentials","credential submission","desktop keyboard login","boundary","browser-e2e","In desktop keyboard login, verify credential submission under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-044","P0","Login Credentials","credential submission","desktop keyboard login","dependency_failure","browser-e2e","In desktop keyboard login, verify credential submission under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-045","P0","Login Credentials","credential submission","desktop keyboard login","recovery","browser-e2e","In desktop keyboard login, verify credential submission under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-046","P0","Login Credentials","credential submission","mobile touch login","nominal","browser-e2e","In mobile touch login, verify credential submission under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-047","P0","Login Credentials","credential submission","mobile touch login","invalid","browser-e2e","In mobile touch login, verify credential submission under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-048","P0","Login Credentials","credential submission","mobile touch login","boundary","browser-e2e","In mobile touch login, verify credential submission under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-049","P0","Login Credentials","credential submission","mobile touch login","dependency_failure","browser-e2e","In mobile touch login, verify credential submission under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-050","P0","Login Credentials","credential submission","mobile touch login","recovery","browser-e2e","In mobile touch login, verify credential submission under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-051","P0","Login Credentials","credential submission","direct tRPC login request","nominal","integration","In direct tRPC login request, verify credential submission under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-052","P0","Login Credentials","credential submission","direct tRPC login request","invalid","integration","In direct tRPC login request, verify credential submission under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-053","P0","Login Credentials","credential submission","direct tRPC login request","boundary","integration","In direct tRPC login request, verify credential submission under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-054","P0","Login Credentials","credential submission","direct tRPC login request","dependency_failure","integration","In direct tRPC login request, verify credential submission under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-055","P0","Login Credentials","credential submission","direct tRPC login request","recovery","integration","In direct tRPC login request, verify credential submission under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-056","P0","Login Credentials","credential submission","fresh browser session after deployment","nominal","production-smoke","In fresh browser session after deployment, verify credential submission under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-057","P0","Login Credentials","credential submission","fresh browser session after deployment","invalid","production-smoke","In fresh browser session after deployment, verify credential submission under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-058","P0","Login Credentials","credential submission","fresh browser session after deployment","boundary","production-smoke","In fresh browser session after deployment, verify credential submission under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-059","P0","Login Credentials","credential submission","fresh browser session after deployment","dependency_failure","production-smoke","In fresh browser session after deployment, verify credential submission under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-060","P0","Login Credentials","credential submission","fresh browser session after deployment","recovery","production-smoke","In fresh browser session after deployment, verify credential submission under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-061","P0","Login Credentials","post-login identity resolution","desktop keyboard login","nominal","browser-e2e","In desktop keyboard login, verify post-login identity resolution under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-062","P0","Login Credentials","post-login identity resolution","desktop keyboard login","invalid","browser-e2e","In desktop keyboard login, verify post-login identity resolution under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-063","P0","Login Credentials","post-login identity resolution","desktop keyboard login","boundary","browser-e2e","In desktop keyboard login, verify post-login identity resolution under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-064","P0","Login Credentials","post-login identity resolution","desktop keyboard login","dependency_failure","browser-e2e","In desktop keyboard login, verify post-login identity resolution under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-065","P0","Login Credentials","post-login identity resolution","desktop keyboard login","recovery","browser-e2e","In desktop keyboard login, verify post-login identity resolution under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-066","P0","Login Credentials","post-login identity resolution","mobile touch login","nominal","browser-e2e","In mobile touch login, verify post-login identity resolution under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-067","P0","Login Credentials","post-login identity resolution","mobile touch login","invalid","browser-e2e","In mobile touch login, verify post-login identity resolution under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-068","P0","Login Credentials","post-login identity resolution","mobile touch login","boundary","browser-e2e","In mobile touch login, verify post-login identity resolution under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-069","P0","Login Credentials","post-login identity resolution","mobile touch login","dependency_failure","browser-e2e","In mobile touch login, verify post-login identity resolution under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-070","P0","Login Credentials","post-login identity resolution","mobile touch login","recovery","browser-e2e","In mobile touch login, verify post-login identity resolution under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-071","P0","Login Credentials","post-login identity resolution","direct tRPC login request","nominal","integration","In direct tRPC login request, verify post-login identity resolution under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-072","P0","Login Credentials","post-login identity resolution","direct tRPC login request","invalid","integration","In direct tRPC login request, verify post-login identity resolution under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-073","P0","Login Credentials","post-login identity resolution","direct tRPC login request","boundary","integration","In direct tRPC login request, verify post-login identity resolution under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-074","P0","Login Credentials","post-login identity resolution","direct tRPC login request","dependency_failure","integration","In direct tRPC login request, verify post-login identity resolution under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
